2021-04-21 15:38:10,291 INFO    : log id: 20210421_153810
2021-04-21 15:38:10,292 INFO    : 2-way-5-shot Few-Shot Relation Classification
2021-04-21 15:38:10,292 INFO    : model: DAProtoNet
2021-04-21 15:38:10,292 INFO    : encoder: roberta
2021-04-21 15:38:10,292 INFO    : max_length: 200
2021-04-21 15:39:02,591 INFO    : Start training...
2021-04-21 15:39:02,592 INFO    : Use bert optim!
2021-04-21 15:58:43,954 INFO    : step: 1000 | loss: 7.035665, accuracy_: 72.93%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 15:58:43,957 INFO    : Use val dataset
2021-04-21 16:04:17,591 INFO    : [EVAL] step: 1000 | accuracy: 74.80%
2021-04-21 16:04:17,593 INFO    : Best checkpoint
2021-04-21 16:04:22,614 INFO    : 

2021-04-21 16:23:48,094 INFO    : step: 2000 | loss: 4.219190, accuracy_: 79.72%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 16:23:48,096 INFO    : Use val dataset
2021-04-21 16:29:30,201 INFO    : [EVAL] step: 1000 | accuracy: 75.20%
2021-04-21 16:29:30,203 INFO    : Best checkpoint
2021-04-21 16:29:35,937 INFO    : 

2021-04-21 16:48:10,912 INFO    : step: 3000 | loss: 2.519092, accuracy_: 77.02%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 16:48:10,914 INFO    : Use val dataset
2021-04-21 16:54:08,688 INFO    : [EVAL] step: 1000 | accuracy: 78.80%
2021-04-21 16:54:08,690 INFO    : Best checkpoint
2021-04-21 16:54:14,149 INFO    : 

2021-04-21 17:12:43,321 INFO    : step: 4000 | loss: 1.263907, accuracy_: 82.22%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 17:12:43,324 INFO    : Use val dataset
2021-04-21 17:18:41,304 INFO    : [EVAL] step: 1000 | accuracy: 80.00%
2021-04-21 17:18:41,306 INFO    : Best checkpoint
2021-04-21 17:18:45,956 INFO    : 

2021-04-21 17:37:18,283 INFO    : step: 5000 | loss: 0.755689, accuracy_: 86.51%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 17:37:18,285 INFO    : Use val dataset
2021-04-21 17:43:11,671 INFO    : [EVAL] step: 1000 | accuracy: 81.60%
2021-04-21 17:43:11,673 INFO    : Best checkpoint
2021-04-21 17:43:16,494 INFO    : 

2021-04-21 18:01:44,572 INFO    : step: 6000 | loss: 1.439066, accuracy_: 81.37%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 18:01:44,574 INFO    : Use val dataset
2021-04-21 18:07:41,318 INFO    : [EVAL] step: 1000 | accuracy: 80.40%
2021-04-21 18:07:41,320 INFO    : 

2021-04-21 18:26:09,093 INFO    : step: 7000 | loss: 0.857937, accuracy_: 88.06%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 18:26:09,095 INFO    : Use val dataset
2021-04-21 18:32:05,154 INFO    : [EVAL] step: 1000 | accuracy: 75.20%
2021-04-21 18:32:05,156 INFO    : 

2021-04-21 18:50:40,900 INFO    : step: 8000 | loss: 1.812492, accuracy_: 76.12%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 18:50:40,902 INFO    : Use val dataset
2021-04-21 18:56:34,307 INFO    : [EVAL] step: 1000 | accuracy: 74.80%
2021-04-21 18:56:34,309 INFO    : 

2021-04-21 19:15:04,826 INFO    : step: 9000 | loss: 1.749895, accuracy_: 50.65%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 19:15:04,829 INFO    : Use val dataset
2021-04-21 19:20:57,457 INFO    : [EVAL] step: 1000 | accuracy: 73.60%
